Number,Teamname
5587,Titan Robotics
1038,Lakota Robotics
6615,Bellevillains
230,Gaelhawks
2905,Sultans of Turkiye
5084,Team FridgeBot
190,Gompei and the H.E.R.D.
5612,Robo-Raptors
5715,DRC
5348,Charger Robotics
1481,The Riveters
6498,Castle Robotics
8048,East Palo Alto Churrobots
3171,HURRICANES
2834,Bionic Black Hawks
3373,Team RoboHawk
1711,RAPTORS
2876,DevilBotz
3487,Red Pride Robotics
7501,Golden Gears
488,Team XBOT
5892,Energy HEROs
2586,Copper Bots
4201,The Vitruvian Bots
4663,Cyber Tigers
2702,Rebels
2197,Las Pumas
7768,The AutoMatons
2883,F.R.E.D (FIRST Robotics Eng...
329,Mohawks
6657,Arborbotics
539,Titan Robotics
5690,SubZero Robotics
810,The Mechanical Bulls
2083,Team Blitz
172,Northern Force
9208,Eddies Circuit
3688,Norsemen
4112,EagleBots
9032,RoboWhales
1287,Aluminum Assault
5638,JukeBots
6217,Bomb-Botz
5090,TorqueNados
314,The Megatron Oracles
619,Cavalier Robotics
815,Advanced Power
6045,Sabre Robotics
3504,Girls of Steel
4004,M.A.R.S. Rovers
5665,SPARC
386,Team Voltage
6548,Perry RAMBOTS
2826,Wave Robotics
2854,The Prototypes
31,Prime Movers
7782,Wolverine Circuit Breakers
6948,EAGLES
4009,Duluth DNA Robotics
4180,Iron Riders
6146,Blackjacks
9176,Greenspire Steel Sturgeons
5434,Falcon Robotics
7178,Yeti
4079,Quantum Leap
5424,Rogue Robots
5401,Fightin' Robotic Owls
716,Who'sCTEKS
7522,Make 1 Robot
587,The Hedgehogs
5256,Atomics
173,RAGE Robotics ⚙️
3635,Flying Legion
1515,MorTorq
74,Team CHAOS
56,R.O.B.B.E.
649,MSET Fish
2847,The MegaHertz
2928,Viking Robotics
3277,ProDigi
8575,The Due Westerners
5842,Royal Robotics
4176,Iron Tigers
6220,The Golden Griffins
8729,Sparkling H2O
319,Big Bad Bob
7211,Hollywood
2363,Triple Helix Robotics
2168,Aluminum Falcons
2202,BEAST Robotics
3142,Aperture
4905,Andromeda One
5026,Iron Panthers
5927,Globetrotters
8744,Leviathans
2987,Rogue Robotics
8612,Calvin Christian Robotics
2207,Bright Bears
7712,ACCN UMOJA
8286,Farwell Robotics
7103,Robo Remedy @ Mantiowoc Lut...
107,Team R.O.B.O.T.I.C.S.
967,Iron Lions
2658,Σ-Motion
6429,4th Dimension
2620,Titans
2609,BeaverworX
2415,WiredCats
3739,Oakbotics
7433,Iona Fusion
3260,SHARP
6326,⚡ Baltimore Bolts ⚡
834,SparTechs
4550,Something's Bruin
1671,Buchanan Bird Brains
6907,The G.O.A.T
8825,Team Eagle Eyed
3749,Team Optix
6175,EVW Mystery Machine
2495,Hive Mind
3984,Topper Robotics
6921,Technados
4641,TALON inc.
5232,Talons
6421,WarriorBots
3484,Short Circuit
7415,Jaguar Robotics Sponsored B...
573,Mech Warriors
1197,TorBots
5550,BRONChO BOTS
8567,Team Ultraviolet
157,AZTECHS
6510,Pymble Pride
3160,F. R. O. G. - FIRST Robotic...
4069,Lo-Ellen Robotics
2438,Iobotics
469,Las Guerrillas
6709,Spudinc Big Lake Robotics
6962,Antares
8,Paly Robotics
2509,Tigerbots
3181,Pittsford Panthers
401,Copperhead Robotics
5948,PrepaTec - Lebotics
9597,Luban Robotics
9105,TechnoTalons
11,MORT
3735,VorTX
7565,SESI SENAI ROBONATICOS
7660,The Byting Irish
5427,Steel Talons
1811,FRESH
8069,Super Hornets
525,Swartdogs
3459,Team PyroTech
4121,Viking Robotics
7444,MOON STAR ROBOTICS
3654,TechTigers
3737,Roto Raptors
3970,Duncan Dynamics
86,Team Resistance
1511,Rolling Thunder
4183,Bit Buckets
5459,Ipswich TIGERS
2872,CyberCats
6418,The Missfits
7034,2B Determined
223,Xtreme Heat
8214,Cyber Unicorn
1,The Juggernauts
5525,Alcona Tool Cats
7616,Cerberus
9692,Sigma
9067,The Goonies
3182,Athena's Warriors
2084,Robots by the C
4778,Stormbots
3536,Electro Eagles
4765,PWRUP
5567,Code Red Robotics
5603,The WarriorBots
9644,NEIA Robotics
3211,The Y Team
126,Gael Force
2283,Panteras
5041,CyBears
6729,RobCoBots
4926,GalacTech
7632,An Kang Robotics Maker
3297,Full Metal Jackets
6740,G3 - Glue Gun & Glitter
4419,Team Rewind
2704,Roaring Robotics
3875,Red Storm Robotics
418,Purple Haze
8089,Rockway Robotics
1675,UPS (Ultimate Protection Sq...
3023,STARK Industries
5067,Steiner Steel Storm
8188,Grand Force
2473,Goldstrikers
4265,Secret City Wildbots
6364,Ten Ton Robotics
4561,TerrorBytes
7431,Wingspan
2603,Steel Stingers
6026,Tiger Strike
3206,Royal T-Wrecks
3176,Purple Precision
4829,Titanium Tigers
772,Sabre Bytes Robotics
4947,Fenix
7121,Keller Fusion Robotics
281,The GreenVillains
2412,Robototes
6391,Ursuline Bearbotics
6381,Red Raider Robotics
2689,Team Alpha
5142,Robo Dominators
571,Team Paragon Robotics
7895,Trobots
4322,Clockwork
6662,FalconX
8852,Drew Robotics
1860,Alphabots
4026,Decatur Robotics
5160,Chargers
5700,SOTA Cyberdragons
4531,STEAMpunk
5653,Iron Mosquitos
3102,Tech-No-Tigers
3158,PrepaTec - TECBOT
5534,Onaway Onabots
6346,Cybears Robotics Team
6925,W.A.Robotics
2783,Engineers of Tomorrow
7419,T.E.C.H. Support
3668,TroBots
2175,The Fighting Calculators
509,Red Storm
3003,TAN(X)
3561,RoboRaiders
948,NRG (Newport Robotics Group)
2423,The KwarQs
9237,Swartz Creek Dragonators
5507,Robotic Eagles
9126,Silver Hawks
7068,Mechanical Masterminds
112,Plus One
2771,Code Red Robotics the Stray...
3316,D-Bug
5439,Huskies
247,Da Bears
3996,RIKITIK
1918,NC GEARS
2147,CHUCK
2333,S.C.R.E.E.C.H.
9480,Gear Bears
2848,Rangers
4603,Forza One - Peñoles
123,Team - Cosmos
7605,ASTRO
287,Floyd Robotics
3197,HexHounds
5654,Phoenix
6153,Blue Crew
5402,Wreckless Robotics
7913,"Bear""ly Functioning"""
7520,Team MineKee
3931,Cockadoodle Dominators
4,Team 4 ELEMENT
3452,GreengineerZ
4655,Stateline Robotics
4041,Iron Tigers
3489,Category 5
75,RoboRaiders
8410,Oyster River Overdrive 8410
9576,Loretto Lightning
7058,StrathDroids
8032,Redshift
3065,Jatt High School
3461,Operation PEACCE Robotics
1880,Warriors of East Harlem
3284,Camdenton LASER 3284
9271,Cyber Porpoises
246,Lobstah Bots
1360,Orbit Robotics
6574,Ferradermis
5577,Kinematic Wolves
6985,ENKA TECH.
5987,Galaxia in memory of David ...
1942,Cinderella Tel-Nof
188,Blizzard
2502,Talon Robotics
6570,Whiteford Bobcats
2855,BEASTBOT
5924,Golden Gate Robotics
2096,RoboActive
5660,Symmetrical Chaos
8267,Riptide Robotics 8267
1648,G3 Robotics
2486,CocoNuts
2377,C Company
4192,Jaguar Robotics
3147,Munster Horsepower
3939,Botetourt 4-H Robotics
151,Tough Techs
3618,Petoskey Paladins
4338,Falcons
5188,Area 5188: Classified Robotics
7536,ANKA ROBOTICS
95,Grasshoppers
1708,AMP'D Robotics
2062,CORE 2062
7461,Sushi Squad
8764,Thunder Robotics
8728,Argonauts
8768,CTEC Titans
288,The RoboDawgs
6508,Hastings Heroes
3082,Chicken Bot Pie
2143,Team Tobor
4956,RoboSharks
5554,The Poros Robotics
4255,Robodores
5505,V2 - Volts Squared
714,Panthera
8046,LakerBots
2059,The Hitchhikers
4534,Wired Wizards
7845,8BIT
1334,Red Devils
5137,Iron Kodiaks
6078,RoboRams
1119,Pup Cups
7102,PrepaTec - Daedalus
3883,Data Bits
846,The Funky Monkeys
1533,Triple Strange
6120,CyberStangs
8889,Project W
9008,G-Force Robotics
1596,The Instigators
4239,WARPSPEED
9478,Robo-Colts
3814,PiBotics
7045,MCCrusaders
7790,Baywatch Robotics
6738,Excalibur
3058,ANNDROIDS
5274,Wolverine Robotics
5285,Sea Kings Robotics
201,The FEDS
1351,TKO
2016,Mighty Monkey Wrenches
623,Oakton Cougar Robotics
1902,Exploding Bacon
6343,Steel Ridge Robotics
2457,The Law
839,Rosie Robotics
1262,the STAGS
5474,Clairemonster
5293,Metal Crusaders
6100,MS Mobots
1757,Wolverines
7576,FMWill
3360,Hyperion
6168,alzahrawi
9709,Isotope
5454,Obsidian
2405,Techno Trojans
3853,Pridetronics
8522,SHS - Robos
2852,DM High Voltage
4293,Komodo
6749,tERAbytes
2960,Automation Nation
2531,RoboHawks
7541,Maple River Robotics
1056,Hot Rocks
6743,Tiger Engineering
4639,The RoboSpartans
8724,Mayhem
9245,Laker Dreadnoughts
1822,Loveland New Team
9430,CTEC Robotics
2264,Trojan Robotics
4320,The Joker
5829,AwtyBots
5724,Spartan Robotics
1259,Paradigm Shift
228,GUS
6502,DARC SIDE
6868,Cadet Robotics
1466,Webb Robotics
4980,Canine Crusaders
60,Kingman FIRST Robotics Team...
8404,SKYWALKERS
20,The Rocketeers
1745,The P-51 Mustangs
1288,RAVEN Robotics
8858,Beast from the East
3770,BlitzCreek
871,Robotechs
4253,Raid Zero
6166,Thorobotics
2079,4H ALARM Robotics
2791,Shaker Robotics
2654,Polar Rams
4207,PyroBotics
8326,GDS Mighty Hoppers
9458,SESI SENAI JACTECH
5130,Undercogs
589,Falkon Robotics
3512,Spartatroniks
2506,Saber Robotics
3341,Option 16
191,X-CATS
4361,Roxbotix
9460,SESI SENAI STEEL BULLS
1165,Team Paradise
1967,The Janksters
3602,RoboMos
5275,T.I.M.E.-Bots
3679,rattlers
8084,ALFA ROBOTICS
4903,Mustangs
3488,Eagle Army
8324,MECO Robotics
2846,FireBears
6618,WARHBOTS
3986,Express-O
2183,Tigerbots
5119,Team STEAM
6162,Cap Alpaca 6162
2508,Armada
5056,MegaHurtz Robotics
6358,The Buhlean Operators
4311,Swampscott Currents
1884,Griffins
451,The Cat Attack
4150,FRobotics
8373,The Flying Octopi: 8373 R.R.T.
3880,Tiki Techs
3925,Circuit of Life
4915,Spartronics
8429,Valence Robotics
1825,The Cyborgs
2472,Centurions
8285,Bionic Bulldogs
858,Demons Robotics
2220,Blue Twilight
3454,Z Bots
4473,Delta Prime Robotics 4-H Team
5635,Demacia
7578,Quantum Mechanics
9729,Knights
5528,Ultime
2867,ElkLogics
5913,Patriotics
5889,Commandobots
2399,The Fighting Unicorns
4576,Red Nation Robotics
4422,Twisted Angels
155,The TechnoNuts
9037,HHS Black Ops
6929,Cuivre & Or
6352,LAUNCH TEAM
138,Entropy
3179,The A.N.T.
7067,Team Streak
2342,Team Phoenix
3721,Charger Robotics
3748,Ragnarok Robotics
5816,Gra-V Robotics
2551,Penguin Empire
6861,The Tyros Team
2710,JetStream
5996,R.U.R.
1018,Pike RoboDevils
4776,S.C.O.T.S. Bots
4523,MCROBO
7443,Jag-Wires
9738,Ionic Bond
1339,AngelBotics
5494,Bizarbots Robotics
5553,Robo'Lyon
9604,TUIUTECH
2526,Crimson Robotics
8427,Robo Ravens
1891,Bullbots
1819,The Quacken
3134,The Accelerators
1350,The Rambots
7165,Perkins Pirates
8054,FLARE
9745,Minnewaska Area Robotics
1160,Titanium Robotics
1452,Omnicats
2583,Orange Dynamite
4810,I AM Robot
7460,Avi and Friends
9231,Haydarpasa Panthers
9676,Hub City Robotics
9114,Rotationaries
639,Code Red Robotics
7627,Bearcat Robotics
2013,Cybergnomes
1619,Up-A-Creek Robotics
9551,Tiger
6072,Triton Tech 6072
6067,Underdogs
6087,Cybertronic Lancers
9200,SESI SENAI STARDUST
3658,Robo - Beavers
1126,SPARX 1126
5104,BreakerBots
7022,ACE Robotics
8393,The Giant Diencephalic Brai...
293,SPIKE
4418,Team IMPULSE
6077,Wiking Kujon
6500,GearCats
4944,The Hi Fives
2980,Whidbey Island Wildcats
3468,MAGNAtech
3522,CBoT´S4
1895,Lambda Corps
4089,Stealth Robotics
3140,Flagship
6651,Golden Bots
7677,Bodacious Bulldogs
5883,Spice Gears
4060,Bearcat Robotics
69,HYPER
1188,Ravens
3667,Mecanum Knights
1418,Vae Victis
5464,Bluejacket Robotics
8848,Blu CRU
3323,Potential Energy
8726,CryptoHawks
1099,DiscoTechs
1646,Precision Guessworks
2010,The Lightning Bots
4085,Technical Difficulties
5708,Zebrotics
9485,HYOBOTS
4096,Ctrl-Z
9558,The Steel Vipers
554,The Blue Grease Crew
3018,Nordic Storm
4855,Ramageddon
7200,Banting Memorial high school
4123,Tribe Robotics
6753,CBA RoboKings
323,Lights Out
2977,Sir Lancer Bots
4174,Mustang Robotics
4373,RooBotics
6721,Tindley Trailblazers
5110,Robo Herd
2039,Rockford Robotics
9027,PATH to Domination
2489,The Insomniacs
4003,TriSonics
7289,Blue Eagles
7826,Marquette Zetabotics
1474,Titans
5933,NASA JudgeMent Call
8515,Photon
120,Youth Tech Academy Red Dragons
1310,Runnymede Robotics
4788,Can't Control
7915,Ripon Robotics
1868,Space Cookies
3544,Spartiates
1746,OTTO
6702,PrepaTec - StingBots
5501,Bobcats
5962,perSEVERE
537,Charger Robotics
7111,RAD Robotics
4226,Huskies
9501,Sidereal Envoy
233,The Pink Team
2543,TitanBot
1458,Red Tie Robotics
5535,Bionic Bison
6992,FrancoBots
5610,Turbulence
5492,Winner's Circle Robo Jockey's
6823,USM Robotics - Wildcats
1421,Team CHAOS
5941,Cast Iron Orcas
8005,Mega MeadowBots
9624,Dynamiques Collège Charles-...
2341,Sprockets
4593,Rapid Acceleration
5449,Prototype
6200,PrepaTec - XRAMS
8243,AstroCircuits
1982,Cougar Robotics
5167,Vi-Bots
9182,Tech Tr1be
5533,Electric Horse Power
2972,Gears and Buccaneers
