Number,Teamname
7492,CavBots
7560,Meteor Bots
8182,Loth Robotics
9124,GESTO ROBOTIC TEAM
2512,Duluth East Daredevils
5576,Team Terminator
7598,SCA Constellations
8519,Iron Eagles
8146,Albatros OSTIMTECH
6345,Nimrod Nation
7088,Somerset Robodogs
8769,G.O.R.T.s
9304,legend's
3055,Furious George
9776,GA Robotics
2151,Monty Pythons
5866,Fe [Iron] Tigers
6642,Harrison Stingers of Steel
8895,Redwolves Robotics
4238,Resistance Robotics
8079,River Robotics Team
1539,Clover Eagle Robotics
3965,Sultans
4219,RED!
6652,Tigres
7674,RaiderBots
9761,LSMSA Robotics
6032,Pirate Robotics
8057,All Wired Up
3596,Rocket Robotics
9534,Basic HS
5052,The RoboLobos
4964,Roosevelt Robotics
9228,The Cougar Coders
9666,AAE Knights
1661,Griffitrons
5135,Black Unicorns
4586,PRIMO
4597,SABERBOTS
2591,RedTails
6658,Rockbotics
9643,Lady VOLTAGE
6455,The Coded Collective
9030,MecHack
4935,T-Rex
4580,Conductors
884,Mechanical Mules
9670,The 4-H NASA Gadgeteers of ...
2170,Galvanized Guardians
2259,1/4 Twenties
6628,KMS BOTKICKERS
3691,RoboRaiders
5538,Vikingbots
9667,ITEM # 9667 Independent Tea...
3751,Tower View Robotics
3753,BulahBots!
7855,Chronic Robophobia
3472,PrepaTec - Buluk
5732,ROBOTIGERS
6029,Railbots
7190,Vancouver Rainstorms
7809,Valhalla Nation
4617,DAUN
9765,LCS Cougars
9244,Belize IT
9402,Explorer1
1885,Comet Robotics
8220,Space Tigers
8230,KoiBots
3359,Royal Robotics
7439,Qubit Robotics
5059,The Midnight Cicadas
6171,⚛ Chain Reaction ⚛
9056,CyberHuskies 9056
1580,The Blue Monkeys
5704,AUTOGOATS
4731,PrepaTec - MONARCH-E
6725,Westminster WildBOTS
9155,New Tech Kraken
2347,Trial and Error
2789,TEXPLOSION
5407,Wolfpack Robotics
8042,Fenrir
9132,Basaksehir Teknoloji Takımı
8066,WOLF ARMY ROBOTICS
611,Saxons
7653,Minebots 7653 - Fresnillo P...
9431,Snider Panthers
5147,Hornets
691,Project 691 Robotics
9077,The Crown
6909,SAKURA Tempesta
7195,Twin River Robotics
2604,Metal and Soul
6350,Clawbots
7465,Magnetech
1793,The Aviators
3268,Valhallabots
5312,Lobotics - Peñoles
9149,RoboCats
3024,My Favorite Team
6695,Alpha Knights
8372,HCN Storm
3172,HorsePOWER
9160,YAL THUNDERS
9494,Hanabi
1522,DOTM - Defenders of the Mul...
6896,CABOTS 6896 - Fresnillo PLC...
9049,SESI SENAI STEAMPUNK MONKEY...
2158,the ausTIN CANs
2585,Impact
9166,TecRobot
9672,Colon Magi Robotics
9744,Breithaupt
159,Alpine Robotics
4015,Jag
9499,KánariTech - Fresnillo PLC
1111,Power Hawks Robotics
3966,L&N STEMpunks
6302,Greeneville High School Rob...
8153,Tech4Peace
5143,GRG Raw Steel
7464,ORION
4931,Edwardsville Technologies
9583,Lavender Robotics
9613,Kennewick
3863,Pantherbotics
4623,Flyer Robotics
7214,Tiger-OPS Robotics
4645,The Chicago Style BotDogs
7530,B.O.S. Robotics
1178,DURT (De Smet Ultimate Rob...
5183,Devil Bots
9590,Bison Tech
9626,JagWire Robotics - NASA
2212,The Spikes
2577,Pingry Robotics
5515,Blue Power Robotics
3646,INTEGRA BAHCESEHIR
9639,Sibley-Ocheyedan
7911,Belding Scrapcat Robotics
5205,FullMetal-Jackets
9542,Technodogs
3719,STEM Whalers
6866,Markham Space Invaders
5429,Black Knights
6556,Spartan Robotics
7033,Roosters 7033
9647,Ladybug
5517,The Engineers on Fire
5149,TroyBotics
3773,Arrowhead Robotics
9203,Quake
9543,Harlan Robotics 23
1915,MTHS Firebird Robotics
9591,DESTAN
6059,System Overload Robotics
7237,UniBots
8090,Mavnesium
6940,Violet Z
8100,Grayson Robotics
8757,GeodeBots
9206,GRP Titans
5563,Phalanx
9694,TUBITECH
3947,The Last Crusaders
7864,North Woods Robotics
9282,PrepaTec- SINAVOLT
4240,TroTek Warriors
4638,Jagbots
4702,Cyberdogz
7623,Morebotics
6872,Panthera Ferro
8622,The CyBirds
2988,RoboRiot
7546,Prepa Tec - MinerZ
9764,Maritime Marauders
2130,Alpha+
7423,GrizzBot
751,barn2robotics
7730,uNReal
9316,CUBATRONICS
6901,Knights Robotics
9524,SHS Cardinal Chaos
5623,Robotic Rams
9144,Helix
9445,The BraveBots
6608,Prepa Tecmilenio - ARCADIA
2513,T.E.R.T.O.L.A.
5189,SABRES
5504,The Loose Connections
7818,Williamston High School Ves...
2827,The Tiki Bots
867,Absolute Value
9703,Q_Bots
2487,Mechanical Animals
3876,Mabton LugNutz
7117,Robotic Dragons
7770,Infinite Voltage
9188,Pantherbots2
9565,CEZERİ
9527,WIHS TEAM
250,The Dynamos
4972,BORUSAN ROBOTICS
8574,Audeamus
9152,Rat Fight
9571,PVHS Coders
9638,Gobles Tigers
9693,Miami Dade College Sharkbotz
5012,Gryffingear
5783,RoboDucks
6806,Mineola Wild Reds
8804,Cyber Bears Robotics
9541,M-stee (squared)
7109,Clare Chaos Theory
8137,Byting Bulldogs
2914,TIGER PRIDE
4390,ATA Coregears
4661,The Red Pirates
6161,Equilibrium
9631,Chargers
3458,Code Blue
8826,Parkway Eagles
5706,Tahquamenon Phenomenon
5060,IgKnight
5722,Plutonium Panthers 5722
4988,Yooper Troopers
9195,Team ProdiXy
5071,Charger Robotics
753,High Desert Droids
4061,SciBorgs
3291,Golden Pirates
5278,Los Clasicos
8767,Dark Horse Robotics
7161,LeopardBots - Peñoles
7722,Resurrection MechaPhoenix
4171,BayBots
4627,Manning Robotics
5830,LIFE Engineering
6353,Zodiac
9755,Luther L. Wright High School
1827,THE HIVE
2234,Alternating Current
6483,Prepa Tecmilenio - CHARGER
8788,Special Forces BallistaBots
8832,AutoDawgs
9204,Aluminum Armada
4630,Robodragons
2969,Aftermath
9732,The New School Robotics
2441,Spartechs
7500,MARAUDERS
8024,Robotans
9654,Kelly Trojans
3242,ILLUMICATS
7654,Robot In Box
8166,ROBOCUBE
3340,Union City MagneGeeks
5347,Gryphons
9456,Nunez Robotics
7256,Irish Robotics
8705,Sci Tech FRC
9448,Wave Wranglers
9699,Bayou STEM
7869,The Fun Gang
2458,Team Chaos
8765,Parallel Units
8798,DAMAS ROBO
9657,SESI SENAI BATROBOT
7589,Lishan Blue Magpie
8408,Kiss Kats
6974,Zia Robotics
7452,Dupo Tigers
8584,Infinity Robotics
9096,Bad Weather
6902,STRIKE
8899,Eagles
9737,One Stone Innovators
2095,Direct Current
404,⚒️ 404 ART ⚒️
7703,RoboBears
3559,Thundercats
9086,Wildcat Robotics
9717,Scott County Robotics
6351,Rundle College Robotics
7683,Harmonia
9040,Sunset Robo Knights
5539,DVHS Cyborgs
568,Nerds of the North
8392,Mac Attack
3859,Wolfpack Robotics
3993,Humanoids
435,Robodogs
4371,Prepa Tecmilenio - ART Mx
3096,The Village Bulldogs
7603,VESPA ROBOTICS #7603 - Bill...
3349,Static
6213,Team Quantum
617,Enginerds
9625,WOLFS ROBOTICS
5928,MetalBoost
7611,AMAL HAWKS
9701,Crosswired Robotics
87,Diablo
9768,ROBOKNIGHTS
5531,Orange Crush
9314,Berserker's
1726,N.E.R.D.S. (Nifty Engineeri...
9779,Gladiator Robotics
4382,Team Trobot
9300,Olympians
9479,CREDENTIS
6824,LVA Robot Pigeons
4091,DRIFT
8144,Red Chair Robotics
9441,Arcura
9515,Carver P-TECH/Gryphon Technik
8175,Piece of Mind
3871,Trojan Robotics #3871
8291,Yellow Experience Bateil - ...
2896,MechaMonarchs
9617,Metal Knight
7309,Green Lightning
8023,LRTC Androscoggin Argonauts
8782,TroBotics
6155,ElektraBots
8300,Lumen Christi Titans
8577,Georgia Cyber Academy Champ...
9429,NEACTC Tech Titans
9587,STEMgc
7198,TL Fearsome Gears
7135,System Reset
9106,Spires
3634,Spark City
4229,Magnetech
6400,The Manhattan Project
8374,Bongo Bots
9616,Keira High School
4750,Bert
9728,BGCCF Joe R Lee Branch
4637,BambieBotz
7018,EOLOTICS - Peñoles
4567,The Mechanized Mafia
6033,Gadget Agents
9194,Gemin√-1s
9568,Leland Comets
9636,West End Secondary School
7777,Septobots
9634,Litterbots
5599,The Sentinels
6969,Cyborgs6969
9669,Regina Riveters
5954,Portable Chargers
5993,Istech Robotics Society
4504,B. C. Robotics
6318,FE Freedom Engineers
8223,Mariners
9196,FERRÃO DE ARRAIA
7587,Metuchen Momentum
5841,The Patriots
8753,Spectre
2882,Nuts n' Boltz
5669,Techmen
8898,Royal Rebel Robotics
9120,Silverbot - Fresnillo PLC
4012,Bad News Bots
852,Acropolis Robotics
2141,Spartonics
8816,Coyotronics
1369,Minotaur
2080,Torbotics
7738,Helion
832,OSCAR
2538,The Plaid Pillagers
4332,RoboCats
8865,Dacula Droids
3163,ROARBOTS
5624,TIGER TECH Robotics
9241,EV ROBOTICS
877,Pi Rho 'botics @ North Star
988,Steel Phoenix
6631,Rocket Robotics
8030,Scrapbots
8793,Pumpkin Bots
8610,Lanier Voks
8770,FireBolts
1159,Ramona Rampage
7128,XLR8
9760,Cristo Rey Jesuit Trailblazers
6094,Manic Mechanics
937,Nerd Herd
2849,Ursa Major
6932,SMART
9532,Messy Bees
2001,HERMES
2048,The Pink Panthers
4260,BEAR (Blue Earth Area Robot...
5133,PrepaTec - Blue Steel
7850,C.A.R.D.S.
6897,Astraea Robotics
8836,Wayne Enterprises Inc.
4455,The Burger Bots
6732,BHS RoboRaiders
2903,NeoBots
4319,Ladies FIRST
4955,LA Tech
2404,Team NEY Techs (TNT)
2606,Irish Robotics
9295,Harlem Rails
5214,The Mighty CavBots
3091,100 Scholars
6453,Bog Bots!
5478,Pershing Doughbots
5727,Omegabytes
7447,Rōnin Robotics
8045,CVHS First Robotics: The Wa...
9097,MachBusters
5046,Jacked Up Jackets
5440,Les Chevaliers
9504,Gunderson Grizzlies
9554,Portage School of Leaders
2261,Casa Robotics
8533,Rancho Reapers
9439,Knights of Polaris
8302,Ni-Tro
9111,Pyro Mechanics
2929,Emeral Ridge JAGBOTS
6506,Steel Boot
6558,Aluminum Sting
6194,The Aftershocks
4562,Sentinel Robotics
8803,MechaMarines
9165,Starbots FRC
3515,Pneubotic Mustangs
5871,Chickadees
9708,SciPort FRC
3533,Mekano
7091,Atlas Orbis
7856,UPAD Fusion
9451,Aydos
9753,Team Success
1803,Vikings
2554,The WarHawks
6591,Panther Powered Robotics 6591
6908,Infuzed
3202,KnightBots
6843,Guardian Gears
6691,Torque
9286,The Oaker Association
5260,Owosso Operating System
8758,Tar-Robo Turtles
9045,North Lions SESI/SENAI
2246,The Army of Sum
6415,Gultepe Robotics Team 6415
9018,ElRobotiKO
4024,TechnoSaints
6000,Firehawk Robotics
6817,10 Factorial
9311,Warhorse Robotics
9497,NIMBLE PANTHER
9720,St. Pete Strong
1319,Flash
6961,SIbots
4008,Theodore Roosevelt's Disco ...
9549,The Mechadogs
7718,HVPA Dragons
2915,Pandamonium
5162,The Big Red Theory
1255,Blarglefish
1744,Robo-Rays Robotics
1799,Wired-Up!
4987,MegaRams
5421,BirchBots
8805,NKST36
9520,Rock-it Robotics
8012,APEX Robotics
9156,Trojan Robotics
9493,Coasters1
3390,ANATOLIAN EAGLEBOTS
3793,CyberTitans
4908,Duxbury Dragons
7030,The ROBOlympians
3295,STEMdroids
3673,C.Y.B.O.R.G. Seagulls
6401,8-bit RAMs
5514,MavBots
5923,WildC.A.T.S.
9012,Team Waffles
9679,Madison Eagles
1818,Team Talos
7607,The Blackbirds
8158,Bosphorus Robotics
9449,Yellowjackets
7036,The RoarBots
9509,YPIE 2024
7173,Garibaldi Robotics
8773,Robo Rams1
9243,Maniac Robotics
5099,Northport Robotics
9782,9782
9607,RJR Cyber Demons
9770,Victory Church of Christ Ro...
4587,Jersey Voltage 4587
9528,The Wolf Pack
9593,White Rhinos
3985,Sonic Howl
6865,Manitoulin Metal 6865
1293,Pandamaniacs
4652,Ironmen 2
6076,Mustang Mechanica
9506,MECHS Robotics
5596,Wolverine Robotics
9119,Iron Legends
9751,OIA Panthers
9510,Medusa
9579,Green Devils
2503,Warrior Robotics
7292,HİTTİTE ROBOTİCS TEAM (HRT)
7514,EVE Robotics
8261,PROGRESSUS
8130,Absegami Robotics
9205,Technical Marauders1
9726,Notus Pirates
1712,Dawgma
612,Chantilly Robotics
8818,The Foe - Foe Engineering G...
7235,Red Lake Ogichidaag
5932,5932 - Prepa Tecmilenio - Q...
6648,MechaSpartans
7191,ABT Gators
2797,Knight & Nerdy
3282,Dallas Robo Tigers
433,Firebirds
7496,Robo Indians
8625,MHS Eagle
9407,Heatwave Robotics
3187,Arcadia Titan Robotics
4468,Fernbank LINKS
8750,Tarpontron1cs
229,Division By Zero
3933,PrepaTec - Taman Keet
6934,Scorps
9070,CELESTIAL
2637,Phantom Catz
4999,Momentum
5695,Heavy Duty Eagles
7077,Sundevils' Fire
9020,Galatasaray Robotics
9564,Taishan Robotics
3344,Space Dragons
7669,Techno R4v7ns - Peñoles
9028,GFORCE
9754,Vestaburg Wolverine
8561,Cartesian Robotics
9781,Northgate High School Robot...
1940,Tech Tigers 1940
4919,Team Ronin
1225,The Gorillas
2725,Ice Princesses
8795,The Chaotics
7459,Taubatexas Robotics
7690,Ironworks Robotics
9255,Botmasterz
9623,U-Turn
6180,Mechanical Lions
6190,Cybernetic Crusaders
8734,Prepa Tecmilenio - BATS
6160,Bombatrons
9007,MIT (Muskogee's Innovative ...
2171,RoboDogs
3577,Saint's Robotics
9211,ACCE Underdogs
8824,Wapello Royalty
6091,Eagle 1
640,Edison Robotics
8623,Michigan FC
9292,Zen Maker Robotics - Shipyards
9416,I.Θ.W.A.
9671,Godwin Heights Robotics
1303,WYOHAZARD
1446,Robo Knights
7273,ZooM 7273
752,The Chargers
9091,A.W.E.
4054,Phoenix Robotics
9051,G-P Robotics: Symbiosis
9581,Bad Wolf 1
5559,Gear Grinders
4299,BCS RoboSharks
8624,"The Bots Who Say Ni!"""""
3740,Storm Robotics
9690,Defuse Robotics
8421,CRUSADERS
1307,Robosaints
3328,NohoRobo
8870,RedCards
9281,FaroTech
2511,Cougars
5219,TeknoSquad
743,Technobots
7737,RaptorBotics
9592,Timmins Blues
2265,Fe Maidens
7115,Red Lion Bots
7744,Wild Cards
7479,Cardinals Robotics
1758,Technomancers
3164,Stealth Tigers
7125,Tigerbotics
8842,SAR
5918,Pumatrons
9093,Veritas Robotics
9263,ALD Lions
1761,STEAMpunk Tigers
3336,Zimanators
771,SWAT
8863,ANATOLIAN DEAF ETERNALS ROB...
9004,Milliones Mega Mechatronic ...
9525,CR-IT NileTech
2900,The Mighty Penguins
7210,RoboJackets 7210
6845,River Bots
9239,Panthers robotics
9546,Techno Leopards
8887,West Central Area Knights 21
8308,GFLRobotics
5182,Chieftainators
9150,Labyrinth Robotics
9223,Newaygo Lions
7255,Mechanical Mettle
8512,Manzano Monarchs
9053,Prepa Tecmilenio - Iron Hawks
9661,Huskie STEAM
5532,The Panther Bots
9471,EF Academy
1585,Scitobor Robotics
6044,Circuit Breakers
9724,TBD
2950,Devastators
5235,Gears of Fortune
7729,RAMs
7418,Channelview TechnoFalcons
1247,"Blood, Sweat, and Gears"
8815,Barnstormers
9422,Team Forza
5491,Hard Reset
9645,POC
7228,Tigers
9646,The Marinators
4961,Shock and Awe-sum
9457,X Studio
5929,Raider Robotics
9076,Villaciraptors
6764,Flash Drives
9601,BageTech
4701,Warriors (Team W.I.R.E.)
6882,Fahrenheit Robotics
7521,ULTIMATE Robotics
3020,SMbld
4286,Imperial Robotics
2190,Team Hero
5125,Hawks on the Horizon
5908,Spartans
6068,Delta Overload
9668,West Robotics
6610,Robot Roll Call
9249,Copper Country Cats
9605,West Wilkes High School
9081,Bluetonium
9655,Shallowater Robotics
8861,06ANGORA
9426,Galena CLAWBOTICS
5265,Radical Impact
9614,ROBOSSAUROS
5716,PrepaTec - Keybot
7287,Esquimalt Atom Smashers
5919,JoCo RoBos
6822,THE SHISHKABOTS
8209,SEZMECH
9589,MCS Innovators
9665,Vanderbilt Area Schools
3204,Steampunk Penguins
1011,CRUSH
453,Rockem Sockem Robotics
9653,O.V.R.T (Ohio Valley Roboti...
7221,Viking Robotics
9148,Atlas
9259,WAATBOTS
7534,Dragonflies
2348,Mechahunes
9307,Spicy Chihuahuas
9025,Mechameleons
2998,VikingBots
6825,THE STRONGHORNS (FRC6825)
9547,Lotus
9658,Camber
4643,Butte Built Bots
9778,Horizon
601,BayBots
7671,Fire Hazard
9490,TAC BEARS
5271,Open Circuits
9127,Lioneers
5642,Mumford Mechanical Mustangs
6860,Equitum Robotics
9502,Idigna
8060,Command B
9227,Gladwin Flying G's
9415,Westinghouse FRC
9577,Recoil
9074,Roboant
8224,Vanguard Robotics
4568,Robot Commander
4622,Academy at the Lakes Wildcats
7758,MEVOLUTION
7903,Rochester Prep
3532,Piranhas
5074,RoboMustangs
8222,The Argonauts
8588,Tech Devils
9103,Prepa Tecmilenio THUNDERVOLTS
6869,Gladiateurs
2225,Rebel Robotics
5019,Gearbox Heroes
7748,TECHTOLIA ROBOTICS
9516,Davis HS/Falcon Furious
8339,Penticton Robotics
97,Bionic Beef
5310,Mecha Ravens
5457,Falcobots
8070,CyberGriffins
9582,HHS NASA Snaggbotics
5408,KENNEDY KINETIX
6643,Walden Robotics
7796,Breaker Robotics
7321,Águila Robótica
9711,TCA Robotics
1994,Quixote
6230,Team Koi
9252,Wingspan
6922,Apache Genesis
8263,Robin
9002,RoboFalcons - Foothill High...
4735,Tecmilenio - DEROF - Peñoles
4565,Skyline Robotics
5123,Mechadogs
2912,Panther Robotics
7814,RV Gearheads
9503,Laurel High School
9685,Astro Pandas
3527,PrepaTec - Balam Esmeralda
8704,LCMR
6533,BeaverTech
7271,Hangar 84
5619,RoboJags
9713,The Martins
6833,Phoenix Robotics
9730,Metal Maniacs
9734,Jasper County Robotics
3743,Eagle Bots
9629,Hibana Technology
6463,Robotic Rams
9172,Robo-Sharks
9209,Fantastic Falcons
5467,RoboTractors
9762,Chatham Charter School
3890,Breaking Away
6606,Prepa Tecmilenio Pink Hawks...
7813,New Haven Rockets Robotics
7833,FALCONS
9043,Valkyrie
6686,Bionic Broncos
7688,Creekside Robotics
6711,Millennial Falcons
7759,Bulldog Bytes
9664,Boogie Bots
8514,Junior Squirrels
1266,The Devil Duckies
6096,UPSM Cobras
6106,PrepaTec - TecGear
9649,Mulgrave Robotics
7516,Louisville Centrons
34,Rockets
5096,The Teutonic Force
8714,Robo Griffins'
9517,Eisenhower HS/Gryphon Technik
3507,Ubotics
5648,FRC Team #5648 Melbourne Ro...
4854,Trobots
9198,The Beach Botz
4191,IMC
5583,SistamatiK
8173,Brighton College Gear Zero
9620,Eltynien
7401,DevTech117
5702,Robotowatomi
9309,Eleanor McMain
4166,Robostang
9472,K2C Robotics
3821,Pirabots
8075,CyberTigers
6188,Sting Robotics
6832,STEAMex
8174,BityBots 8174
4579,RoboEagles
3976,Electric Hornets
9453,#MSD Mount Vernon Wildcats
4632,Monti-Pythons
6411,Gravediggers
9073,Skol Robotics
9610,Blue Ivy
9650,Mio-Ausable Thunderbots
4348,Bonneville Bots
7713,Norse Code
9183,RoboComets
9029,Team NF
4364,Metal Jackets
8761,AHS Tiger8761
9419,Team Vulcan
9437,Uncommon Collegiate Charter
2395,OKC 4-H Robotics - Ninja Mu...
9042,SOARIN
3760,AeroBots
5045,SpartaBot
9157,Iconic Panthers
9538,Stallions
6322,ONECLAY A.R.M.O.R.Y.
2907,Lion Robotics
3560,Chingbotics
4758,RoboBlazers
7686,Acabots
8124,BearBots
4739,Normanhurst Nitro
6431,NoktaParantez
3777,Bean City Bots
4251,The Gallup GearHeads
5608,Lassiter Robotics
2906,Sentinel Prime Robotics
7794,Marion Eagle Engineers
5975,Beta Blues
4729,EMU Robotics
3619,Blackhawks
7907,Spartan Robotics
9303,PO®️TAL
1557,12 Volt Bolt
3786,Chargers
335,Skillz Tech Gear Botz
7203,21st Century Cyber Bearcats
5744,RoboRunners
9421,Carmel Robotics
540,TALON 540 Godwin Robotics
7621,Iron Rangers
8799,IZELMAN ROBOTICS
9247,SainTech Robotics
9530,Adams 23
6141,O'Connor Robotics
6526,Cyber Rangers
2927,NEST Robotics
5500,Jaguars Robotics & ROVs
6676,Prepa Tecmilenio - Thunder ...
5785,The Shield
9289,Vikings
8362,Circuit Breakers
4838,Outlaws
9747,Center Line High School Pan...
9315,Coding Comets
9719,ThunderTech
9757,Marlette Jr/Sr High School
6665,C-Otters
5225,The Shambotz
8700,W.I.R.E.D
7138,Wing It
9210,Fighting Falcons
9444,Perseverance
7865,Hope of Detroit Robotics
6476,Supernova Star Squad
7458,Senior Robotics Team
9789,9789
5965,Power Struck Girls
9060,Prepa Tecmilenio - Desert R...
9189,Disastrous Data
8387,The Thingy Thing Team
9608,Central Arkansas Christian ...
6887,Dalton Catabots
8364,Rising Stars Academy - Nebulas
1450,XQ Robotix
9550,KSS STRIX Robotics
4182,Viking Robotics
9057,G.I.R.L.
2840,PCDS Blue Tide
1795,Team Clutch
7575,Stark Robotics
8756,Magic Valley Logic Control
9696,Hami NASA_Yankatrons
1002,CircuitRunners Robotics
5263,Robo-Bucs
9159,SHAGO ROBOTICS TEAM
4021,igKnightion
3110,SeaBots
7230,Mythic Mechanix
8778,HSUWerx
1831,Screaming Eagles
9735,Electric Dragons
4816,Gadget Girls
395,2 Train Robotics
8718,Tigerbotics
4127,LoggerBots
5679,Girls on Fire
7811,Flamin' Hot Tigers
9424,EOCHS Robotics Team
9185,PL ROBOTICS
6910,Mill Creek Steel Talons
5651,Maynard Jackson RoboJags
9248,Orchard View Cyber Cardinals
303,The T.E.S.T. Team
9660,Delgado Community College D...
4717,Westerner Robotics
9697,Beecher Bucs
6047,Proctor Frostbyte
9065,Prepa Tecmilenio - SpaceHawks
4711,The Flying Aces
9423,SL Robotics
4337,Red Devil robotics
6199,E-Hawks - Peñoles
8006,The Phantoms
2647,Cyborg Mustangs
9727,Warrior Robotics
9533,Melissa High School
7288,NOMMA D3V1LB0TS
4464,Team Illusion
9467,ÇeViK
7668,GatorBots
8766,The Black Machine
4516,Hyperion
8791,Mighty Patriots
590,Chahta Warriors
7676,THS RoboDogs
9238,Jaybots
1739,Chicago Knights Robotics
7466,Cymurghs
8369,Coyotech Robotics
5728,MC2
9095,Potentia
6804,Team Wolfpack
9473,CYGNUS ROBOTICS
5049,Minerbots
9440,Bolts&Nuts
9675,EQUIPE SESI SÃO LUÍS - COLO...
9213,TECUANI
949,Wolverine Robotics
6904,TeraWatts
7570,New Tech
6988,ACI 35
7167,Spectrum ThunderBots
9019,Ko'olaupoko
9514,Blanson P-TECH/Gryphon Technik
4328,Furious Falcons
5065,Knights #5065
9733,Gold Diggers
9715,International School Manila
6127,BHS Pumatrons
8303,G0LDEN_GAT0RS
8707,The Newark Circuit Breakers
8719,Oakville Dynamics
9277,Sparkans
7318,Nanuet Knightronz
6880,Universal Serial Brawlers (...
9736,Tawas Braves
5239,Harper Woods Steamworks
9786,9786
8112,Cyclotrons
9071,SlicerTech
4925,The Resistance
9561,Dawson Dino Nuggets
7332,Vancouver Puddle Jumpers
7886,Cadet Robotics
9748,Ann Arbor Academy Blue Herons
7662,3RingCircuits
1759,Potatoes
9775,Ravens
6975,Neil McNeil Maroon Machines
3004,Bronx Knights
8800,INDUSTRY ROBOTIC
1528,MTR (Monroe Trojan Robotics)
8615,SAZANKA Robotics
5437,Rocky Balboabots
5857,Walnut Valley Robotics
3243,Amperes
6977,Cyber Squad
8885,Socratic Schematics
8290,Jaegers60 - Peñoles
8896,Wolf Tech Robotics
1566,AMMOKNIGHTS
2895,Blazenbots
6191,RoboKryptonite
9137,Bionic Vipers
6605,Prepa Tecmilenio - Imperiu...
9026,Aero
3029,Mecha Titans
5848,ROBO C3
9759,Ogemaw Heights Robotics
4730,Terminators
2909,Zebra Bots
9313,ROBOhana
5986,┌ Iron Fangs ┐
8737,Rocket Rampage#8737
9651,Ecorse Robo Raiders
6586,Tuskin' Raiders
4295,Hudson Stingers
5027,Event Horizon (5027)
9436,Pointr Giro
3728,Momentum
5564,GRANBOTS
1954,ElectroBunny
6981,Clockwork Concord
5988,Narooma High RoboRebels
9476,BCHS CYBER TIGERS
5070,Gearnotics
8740,Prepa Tecmilenio - Quantum ...
8151,Wildfire
6540,Dynamo
3053,VB Stingers
4459,LeoTechs
8783,Apeiron
5541,Sabers
7810,Eagle Robotics
6240,Eagles of the Knight
9678,VMD Initiative
8844,Flamethrowers
3393,Horns of Havoc
9174,ROBOKIRAC
4384,Benzene Bots
3588,the Talon
4585,Husky Robotics
4360,Spudnik
7597,Team HorsePowered
4179,Tahisco Techs
9409,Caelum
9218,Alpha Technology
7725,PrepaTec - NUTS & VOLTS
6905,Raiders of the ARC- TEAR-A-...
8853,Yukikaze Technology
2408,Shrapnel Sergeants
